,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2022-01-28,14056.02367666704,13991.269301112294,13271.257554312393,13398.050564213914,14190.42887291245
2022-02-04,14154.302437700506,14095.053481961693,13466.277017196913,13307.447414675884,14276.85394675744
2022-02-11,13979.305244108378,13982.654961274076,13617.57734943876,13301.588361907317,13887.299073709404
2022-02-18,13622.950509682976,13615.577250078602,13148.860682984878,12946.100453044612,13608.957406213136
2022-02-25,13640.623544799115,13704.620022633211,13275.60266062089,13026.931067663647,13844.404980752211
2022-03-04,13027.651613148913,13113.221495904398,12648.305385024705,12492.84033149449,13519.3540760931
2022-03-11,13286.072744637337,13358.372258474534,12792.685888041628,12750.626134414615,14014.715821223745
2022-03-18,13538.660011507527,13662.302519011531,13260.940005681323,12976.707421816267,14358.49617774495
2022-03-25,13679.29767488883,13850.86665800164,13420.885208818167,13183.35218612996,14395.153303459414
2022-04-01,13797.774592312844,13980.077740640305,13605.821932504143,13293.522640405552,14303.677440378366
2022-04-08,13646.192950864555,13868.584700609417,13373.134682343434,13078.038172643899,13953.712675327148
2022-04-15,13563.579460641684,13904.535163553248,13366.761371201994,13201.546412141683,13962.314784642262
2022-04-22,13435.520632949858,13642.349529424462,13017.278714215508,13009.142289943511,13635.617040317931
2022-04-29,13196.5605385632,13259.009110052104,12678.832655153221,12593.318816437259,13189.394599891171
2022-05-06,12759.50145454346,12830.298679850752,12186.833005494604,12319.579490231887,12505.079129718444
2022-05-13,12790.675500028843,12716.523286895695,12116.314341851166,12098.002028999917,12413.282761546103
2022-05-20,13203.884590997772,13226.567936839989,12533.433199116651,12598.417428719918,12918.474016518314
2022-05-27,13338.276682041243,13342.119667055746,12574.200281756624,12871.57315342116,13303.497504079522
2022-06-03,12945.581155619646,12960.239545243167,12101.280066727606,12596.20197939589,12795.1218094543
2022-06-10,12233.836484183874,12297.480026461842,11462.281402556133,11973.733001660017,11686.260760881185
2022-06-17,12589.508212660041,12681.236046699565,11771.268617804782,12466.744852802629,12101.984720048631
2022-06-24,12596.45404299463,12715.750441399512,11844.230481411712,12533.548361771132,12076.056785669938
2022-07-01,12788.039443774018,12891.299303706784,11840.197516611624,12798.4293014581,12451.862917808314
2022-07-08,12508.061205880911,12680.250193929356,11499.210876492223,12419.75267297223,12097.18229649425
2022-07-15,12809.61653102066,12950.93062964678,11815.85438734841,12665.061624001888,12765.567323897953
2022-07-22,13074.186518978251,13226.46288964732,12127.274422003162,13159.49155402315,12998.60544215588
2022-07-29,13061.302927402847,13151.477622985238,11891.72704215111,12920.379136345986,13257.890969320799
2022-08-05,13046.867611562713,13168.411274989887,12079.728524958815,12947.897004416853,13444.192025215028
2022-08-12,13308.385362284176,13456.110286068537,12351.641595556835,13235.874431733064,13697.078786747083
2022-08-19,13089.374429133988,13264.582905524405,12123.35820019168,12980.007110418335,13428.82942265598
2022-08-26,12654.01996179798,12792.79661586925,11659.970904982805,12518.981566149974,12689.70036793164
2022-09-02,12572.791883177651,12844.498717833761,11638.390461857176,12556.566097898869,12816.464769070453
2022-09-09,12341.162323795656,12562.299019405507,11405.644245796411,12266.120137420929,12488.03155666338
2022-09-16,12033.023908512554,12276.889302981906,11204.000327506143,11990.783962302954,12028.271640740828
2022-09-23,11622.441728335683,11821.344829869267,10706.131212380556,11569.14626892887,11660.886238830537
2022-09-30,11754.259875054591,11968.938340631756,10786.523289181294,11693.633898067832,11995.486340196714
2022-10-07,11731.545405287834,12098.305349021704,11053.790632348988,11911.216395518677,11763.099537751314
2022-10-14,11620.452557804934,11972.082433712212,10855.62838170605,11763.943325755567,11745.096632800347
2022-10-21,11920.263179961705,12262.79022094523,10953.905814424666,11978.128835700623,12213.41022157727
2022-10-28,11867.450827823666,12164.57310059816,10875.998534855702,11940.413999005714,11925.095795983196
2022-11-04,12429.704932714381,12697.785462025546,11397.594454246602,12600.383816260119,12686.224278951187
2022-11-11,12576.480812960192,12775.765991537024,11513.714658447534,12595.19355962063,12671.759296760347
2022-11-18,12838.59832693357,13121.004976905493,11802.311701411221,12930.53031175222,12934.681680732867
2022-11-25,13091.352568861772,13384.985852204765,12096.8838212545,13139.341422030051,13094.107714856458
2022-12-02,12889.374223918045,13116.015757763651,11844.747652843575,12902.04931338999,12736.042724668448
2022-12-09,12679.436714689184,12887.448663798765,11595.013183532823,12630.219126610442,12523.582888284749
2022-12-16,12551.890995763251,12684.380576447616,11334.851846214504,12421.533871211363,12293.389123891648
2022-12-23,12672.929573643476,12772.440592010495,11412.01321639531,12468.084859945939,12381.216793972158
2022-12-30,12481.255463078318,12590.187191858819,11276.33208907029,12267.010717984194,12250.120936567453
2023-01-06,12690.285948120014,12858.04542776099,11550.579631172694,12471.183559983843,12817.775645199472
2023-01-13,12662.920040256347,12784.250171234624,11417.572887777147,12349.202742370107,12549.123330977516
2023-01-20,12971.66437361411,13136.53521226787,11735.590671250862,12650.52477558015,13069.314430334714
2023-01-27,13283.679200670123,13506.0076562542,12163.124394736848,13134.38152577889,13457.762478726656
2023-02-03,13007.826951118599,13221.878548399705,11904.362907090357,12951.407751435947,13144.870156276687
2023-02-10,13037.69917405089,13238.98272232772,11868.651724641557,12909.36918662568,13183.295728089717
2023-02-17,12812.915965356038,13027.270626264524,11731.446847182026,12752.950370939801,12937.24881315218
2023-02-24,12788.45143303996,12994.075686846469,11759.435628605079,12747.885610728354,12845.222629432066
2023-03-03,12733.549866626361,12953.052525663576,11747.825425150173,12730.712596234918,12643.408508781584
2023-03-10,12984.940639015393,13189.932512339063,11960.777395063624,12866.656501665126,12790.326599840893
2023-03-17,13037.349034495832,13161.337960380928,11795.943774679907,12666.333117565891,12743.848208788819
2023-03-24,13427.805578184427,13561.232680814745,12171.656858034583,13083.978184302401,13085.158305812205
2023-03-31,13594.149073721304,13765.693653723778,12368.815597161849,13264.392306674552,13263.105618073
2023-04-07,13666.631090277624,13839.222882775803,12505.190329423905,13433.46164339797,13401.83485557799
2023-04-14,13748.743755681799,13945.239962092806,12624.434695967799,13614.026160287835,13350.298461348897
2023-04-21,14084.032777566706,14258.2095609479,13196.153692501699,14225.234230012431,13367.47794646726
2023-04-28,13879.750139337484,14025.436932777566,13027.73606673696,14117.79240707744,13131.508907052963
2023-05-05,13911.725450970636,14067.749261343393,12991.727266794196,14118.56326060591,13358.400747611679
2023-05-12,13967.355761476263,14168.726019779153,12959.29401282543,14082.800620491365,13588.533708788103
2023-05-19,13849.46508714173,14092.737883154105,12955.264859611209,13947.497813205158,13440.082139992972
2023-05-26,14028.473633740317,14219.971406541694,13062.984922347885,14113.542254073807,13672.482339757304
