,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2023-04-21,26410.57147787721,24066.23846926311,24546.526129670558,19644.801568376915,24066.168951364063,21735.285041507927,22854.034656163712,27173.7219122144,27789.954580559148,25555.538248446766,22816.768842050464
2023-04-28,26912.755759638967,24613.84818656157,25012.826544792635,19598.9363480797,24480.998216420012,21740.738254208856,23115.61350354931,27720.64799942102,29169.487119582373,26557.11034365036,23023.233896432495
2023-05-05,26740.1137853745,24808.052330793817,24915.931541553302,19619.96682231133,24367.27709968016,21562.852674137415,23082.566127076694,27449.211552979476,28721.757755002443,26384.672308485005,22840.572170415755
2023-05-12,26600.56348516035,24803.939435021846,24780.68038377701,19391.84389373544,24207.491366544888,21248.950893206882,22911.91545953374,27357.54114582508,28568.5579251763,26088.704005294276,22783.00243480342
2023-05-19,27025.932185475674,25217.64133578041,25046.558656214693,19511.118925717954,24522.712394761227,21734.972048828655,23186.371663087208,27887.96135916239,29055.72760056891,26288.967639640206,23172.13977490423
2023-05-26,26776.258233836055,25085.412074997137,24745.72598403071,19150.530659283057,24246.75936397236,21541.476168981655,22892.59896784017,27665.47215660905,28973.446152029548,25842.2799351899,23249.62862847874
2023-06-02,27224.548584207165,25548.88881785008,25113.30230918922,19338.23939073432,24630.249292207034,21907.881223682332,23221.040301015215,28046.222857993755,29621.360896715196,26202.398121717444,23686.927009667612
2023-06-09,26822.24084903763,25169.30771092293,24761.365288224817,19117.875481479343,24279.387218281056,21558.114551426555,22875.058149064593,27662.4904289348,29250.724982801603,25895.364437216205,23796.527917168412
2023-06-16,27590.323513687286,25643.317002373715,25458.891983054484,19603.72121012357,24951.242061547546,22106.86454651994,23540.940219626013,28456.196904205142,29899.121363197573,26300.723127865665,24416.067396242473
2023-06-23,27301.316102515335,24977.53823511454,25174.459556797232,19184.170724021573,24636.20503695571,21663.900563532625,23210.36108834542,28379.842465803515,29950.713639480004,26279.034473852,24068.820394163882
2023-06-30,27871.2777234962,25746.848344118454,25626.897160500183,19622.648612717847,25134.98349581385,22330.597271498034,23659.075318689433,28888.380743576134,30424.719084648383,26682.16308741004,24628.30156784309
2023-07-07,27598.61856222978,25550.104117543673,25375.973871878035,19520.700474546375,24900.97642535273,22218.930309742474,23433.27335909665,28659.309369068113,30344.233225531694,26383.025759506305,24365.5075428393
2023-07-14,28584.148623201272,25983.016637959056,26204.021154609993,20052.722255668894,25742.20052692583,23024.71604868786,24222.818429391933,29604.358356203265,30951.726770818128,26722.032747533784,24961.657281878266
2023-07-21,28597.101362512385,26110.38814512212,26244.943487890956,20049.79823604085,25765.701671722905,23002.084576576537,24278.8597479491,29605.836372943148,30975.906887119825,26923.48167944078,25122.782495569234
2023-07-28,28923.421821804655,26575.249601244755,26609.17993184516,20490.076701259786,26179.051839891687,23428.435718772067,24672.940276400906,29745.448817717417,31245.90034125894,26557.78061268409,25386.136184781542
2023-08-04,28087.982232537677,26017.74631033514,25804.122937283042,19867.78269566508,25398.235156129696,22818.25167825673,23928.428869972973,28974.514994548652,30552.968634283334,25953.35076335635,24824.426913970325
2023-08-11,27827.47513166456,25601.822611127,25648.402318077984,19698.709942949277,25182.822020140913,22371.72093707026,23772.992418527178,28789.934334830257,30216.53641530819,25888.761497534164,24759.97753247407
2023-08-18,27072.256359609517,25149.607620577288,25005.99673315984,19343.722944217167,24559.317069248566,21902.709681485732,23229.24000259078,28013.988869207493,29378.329024835206,25450.930176306894,24251.615876406555
2023-08-25,27263.10699601182,25337.145016200888,25175.83671977873,19397.515186051027,24720.198161092412,21993.212699215575,23359.196714845155,28210.881867607575,29516.75377376038,25565.159618218513,24444.40259673645
2023-09-01,27644.365391275536,25906.397514437554,25397.55828609403,19550.944386948486,25010.69438233992,22492.775711523944,23577.63124516718,28601.38843891746,29848.538078652487,25708.49715721697,25067.778767554417
2023-09-08,27219.7119975036,25747.94029754389,25079.165108235236,19388.565852671694,24670.964113007532,22079.052438574057,23285.456586819735,28260.95826782995,29555.17346161637,25436.557182428947,24752.75821617429
2023-09-15,27215.042367071925,25094.988479612788,25099.837548419076,19375.50538722965,24661.334649358498,22001.141212814644,23291.654693897628,28384.028610752033,29759.78344721905,25630.936096719535,24720.192095059967
2023-09-22,26625.653637579737,24259.252899184994,24557.606078614885,18995.219995884756,24132.99156838021,21581.911215332973,22804.835342901573,27777.590285973984,29241.43237460747,25170.287959805824,23998.163667814064
2023-09-29,26291.1439739237,23958.949219056794,24178.61572350198,18629.80166712821,23808.724708387228,21433.38835894289,22467.554907647536,27382.491800614578,28783.646708072458,24646.500503985586,23834.243652981204
2023-10-06,25939.21273864937,23922.808282168844,23822.794520397667,18224.886386076705,23482.338199093057,21120.644848983073,22066.93727420875,26959.753067330348,28621.25931997749,24109.780077524756,23949.099772200945
2023-10-13,25610.972308007567,23350.982705604394,23526.645578466883,17955.39879216353,23171.483628746242,20775.239429694524,21757.75883070511,26645.40948965553,28219.110270901085,23754.122420679592,24058.37684883895
2023-10-20,25734.061539885854,23438.68040909613,23663.716113242586,17951.554016179503,23238.19732849789,20642.02360793068,21840.861441218403,26921.99935506028,28417.403912662445,24166.414236393193,23483.545388283437
2023-10-27,25210.940076050305,23175.019180497937,23221.541839060155,17740.24521276024,22778.01243649069,20208.459815090046,21491.729946089345,26341.01477714269,27856.153928432996,23770.181351402083,22897.55584256446
2023-11-03,26880.9946154392,24581.24373188115,24699.910505483767,18788.171013435523,24246.59681662273,21611.150126519566,22854.750450622556,28110.421688512964,29565.799444964607,25302.0346162988,24236.23567037444
2023-11-10,27190.26605090764,25093.696004399226,24882.069983435365,18958.75780023867,24505.1931096581,22102.881456814248,23098.06787201036,28457.343310557906,29987.424380017594,25530.097324313476,24566.30731707286
2023-11-17,27784.560029844106,25508.348142947787,25375.908511660557,19385.53545837058,25034.123344194853,22762.619342278358,23580.193404479356,29039.04198849573,30588.903432492865,26086.5095362259,25133.896581974168
