,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,SPY
2022-08-05,16602.491933285088,13948.61648669381,14710.175962708043,11872.075218288423,14587.237750505126,15737.743624790575,13186.84356832416,13444.192025215028
2022-08-12,16913.507409997692,14257.192799622988,14986.338573606155,12214.191983314668,14889.992396547144,16173.078174900278,13463.96129631498,13697.078786747083
2022-08-19,16778.666722311387,14299.823185831641,14810.419332797152,12015.600545991796,14711.448305138982,16021.861627453178,13281.712765919538,13428.82942265598
2022-08-26,16094.716751715761,13305.03817983781,14256.23499814984,11558.51038743048,14146.90148061264,15314.044847423818,12757.38469726508,12689.70036793164
2022-09-02,16053.405869708064,13389.522701967908,14215.71324657613,11512.68062037078,14085.945731369906,15189.525704377687,12714.725160774015,12816.464769070453
2022-09-09,15743.702617088224,13054.000019007526,13908.527843507436,11340.768683282127,13830.627105562378,15063.877941200639,12437.154797093846,12488.03155666338
2022-09-16,15262.203655410414,12473.582019381525,13577.10829526254,11152.763767858409,13474.38536226521,14591.88641905799,12178.556050463218,12028.271640740828
2022-09-23,14780.197688422735,12361.783768901643,13136.110884044281,10795.296895390948,13030.084373704534,14112.575449972193,11803.382266360622,11660.886238830537
2022-09-30,14926.311800390915,12497.796306160757,13268.385141093335,10796.866776325744,13152.861806775592,14169.84465475021,11925.426432201777,11995.486340196714
2022-10-07,14907.821910747922,12277.604398864862,13283.464364590525,11036.0385196365,13180.858500465556,14285.810504313276,11957.262002288411,11763.099537751314
2022-10-14,14707.292810871615,12066.660771959958,13123.066312253286,10891.67450564619,13009.592307082487,14074.306847171818,11794.287981411604,11745.096632800347
2022-10-21,15122.19691739742,12474.902951657225,13502.361846956612,11294.873895093626,13389.762710899322,14551.4765813665,12154.061366889518,12213.41022157727
2022-10-28,15054.291117880786,12517.893290405422,13402.901388036746,11344.983978147884,13359.692681210869,14709.230218279361,12074.326524848955,11925.095795983196
2022-11-04,15730.088351666987,13178.058892602568,14038.512277099564,11735.363988553827,13947.082640813704,15210.50565475234,12638.75244027346,12686.224278951187
2022-11-11,16006.975127889558,13478.629548911598,14196.695410636108,11767.151014232933,14123.23065916837,15491.781764085636,12725.840956846572,12671.759296760347
2022-11-18,16361.158229181885,13798.828851845597,14532.312170922254,12056.073116837673,14442.815321966134,15826.631909428463,13049.89580369775,12934.681680732867
2022-11-25,16754.791082617132,14139.267570183812,14852.092764792333,12156.57767489054,14730.758524064433,15995.602375782104,13288.556380680278,13094.107714856458
2022-12-02,16559.96018497853,14161.389201542384,14642.969074856914,12061.472862425042,14549.12286208479,15883.777661657916,13114.210558997718,12736.042724668448
2022-12-09,16201.822210994407,13696.91479800822,14374.053999307886,11795.061160588803,14254.267759557946,15457.298780989546,12853.614033280674,12523.582888284749
2022-12-16,16035.349002834062,13487.040782118045,14239.148589363112,11730.472538605783,14122.413081553444,15319.184815705032,12750.81750187385,12293.389123891648
2022-12-23,16157.85866918335,13461.340517926368,14353.515954964314,11771.765402999645,14226.673636629368,15381.34779836328,12828.919801790431,12381.216793972158
2022-12-30,15907.72348563777,13010.93653818334,14111.252867862135,11612.172999888739,14018.997046049306,15243.577512194415,12581.424542533712,12250.120936567453
2023-01-06,16192.186880587982,13513.058300607881,14354.721315107936,11721.03680958819,14239.844692891202,15368.940237470893,12771.723540138475,12817.775645199472
2023-01-13,16113.480317013362,13180.057048120236,14273.28613511576,11702.358232500139,14195.533463121688,15404.191803636564,12704.406365468036,12549.123330977516
2023-01-20,16516.64838324243,13637.1441678545,14595.636466537182,11843.990411494271,14509.064004781587,15714.23857290465,12976.294969850389,13069.314430334714
2023-01-27,16859.00471467189,13692.12713496344,14859.796588343108,11917.151124044196,14785.474547203083,16051.655514092372,13136.993884561545,13457.762478726656
2023-02-03,16531.08599880904,13630.966155994722,14554.414458157142,11779.44964281746,14512.101116476599,15878.77742314951,12879.192389047957,13144.870156276687
2023-02-10,16554.272050305975,13723.688342243859,14621.33738401707,11884.438563203177,14550.667381684865,15852.405088637905,12956.234624742863,13183.295728089717
2023-02-17,16266.698395181927,13496.007484522028,14411.758818689004,11679.993307782985,14299.273995261128,15424.579865016743,12753.03987445049,12937.24881315218
2023-02-24,16250.331982531547,13451.267771816609,14371.365974989887,11601.21224811168,14270.359713055983,15394.395232130295,12699.981000440006,12845.222629432066
2023-03-03,16143.88081464893,13247.50875451405,14259.29863281373,11517.332912380829,14185.916050917622,15330.20795109929,12591.12100603361,12643.408508781584
2023-03-10,16444.018940612736,13636.81899649971,14558.513801301116,11649.392649876343,14402.721737515716,15343.628987908609,12842.36653031374,12790.326599840893
2023-03-17,16528.01944994121,13945.219004303031,14596.547889514142,11689.155627423432,14450.486549736015,15402.999822761698,12864.182702815287,12743.848208788819
2023-03-24,17022.48475971485,14193.788477216478,15012.842279352393,12005.626828599503,14877.673428664273,15923.733829619887,13227.524123211046,13085.158305812205
2023-03-31,17202.65251477325,14168.123113378153,15213.230754079095,12146.526432609273,15041.408891959234,15965.936831769804,13407.019931439745,13263.105618073
2023-04-07,17295.357512826995,14254.222840391369,15316.03039843432,12206.826367137686,15121.900872083128,16006.522634827204,13497.423442818257,13401.83485557799
2023-04-14,17410.455316771207,14377.588989754699,15395.393765381137,12290.607476356092,15226.975158315283,16202.41753442396,13562.51860719133,13350.298461348897
2023-04-21,17839.413838529512,14901.775328661597,15758.061325943549,12339.75577627091,15545.002880440557,16301.909789605417,13819.51836985589,13367.47794646726
2023-04-28,17624.340579210562,15118.135158610598,15586.658499844,12189.350097038683,15337.772556246511,15997.183824199943,13671.977614199797,13131.508907052963
2023-05-05,17821.752763694363,16033.784928817653,15709.720007473255,12125.013787100597,15414.1545748658,15982.031626418287,13744.625063104568,13358.400747611679
2023-05-12,17906.89450161811,16199.006737165975,15754.22353837919,12109.587105260976,15454.562868431534,16024.610132870304,13763.465224133273,13588.533708788103
2023-05-19,17739.28435628291,16168.027514072934,15538.69875279707,11937.414379645423,15318.636582010897,16078.672755090072,13561.909922087336,13440.082139992972
2023-05-26,17981.722656858354,16499.892810300043,15692.829702356064,11877.054050624467,15471.400708942847,16222.033439368415,13669.22365209171,13672.482339757304
2023-06-02,17995.933817877933,16559.5617523346,15696.479304520664,11936.047636125575,15498.063881093189,16331.594329588617,13691.946718430787,13909.423200075415
2023-06-09,18435.936262957162,17038.671717812736,16092.020109521893,12161.443677328303,15848.692158419277,16558.83097168193,14021.154319954718,14346.028426637477
2023-06-16,18421.40726877554,16981.79576869483,16055.001760375615,12203.647756775568,15845.468947402,16659.098009126978,13981.423111305246,14201.187950575086
